Date,BTC,ETH,BNB,XRP,USDT,DOGE,ADA,BCH,LTC,LINK,BTC_rtn,ETH_rtn,BNB_rtn,XRP_rtn,USDT_rtn,DOGE_rtn,ADA_rtn,BCH_rtn,LTC_rtn,LINK_rtn
2019-03-01,3859.58374,136.443619,11.393217,0.317312,1.006868,0.001994,0.043279,132.961792,47.48724,0.431785,,,,,,,,,,
2019-03-02,3864.415039,134.206955,11.869744,0.315126,1.011416,0.002003,0.042838,132.538498,49.015366,0.427787,0.001252,-0.016393,0.041826,-0.006889,0.004517,0.004513,-0.01019,-0.003184,0.03218,-0.009259
2019-03-03,3847.175781,132.24942,11.537903,0.312554,1.01022,0.001999,0.042312,131.556305,48.380322,0.424169,-0.004461,-0.014586,-0.027957,-0.008162,-0.001182,-0.001997,-0.012279,-0.007411,-0.012956,-0.008457
2019-03-04,3761.557129,127.774124,11.545945,0.305133,1.011617,0.001982,0.040602,125.122482,46.432034,0.407811,-0.022255,-0.03384,0.000697,-0.023743,0.001383,-0.008504,-0.040414,-0.048905,-0.04027,-0.038565
2019-03-05,3896.375,137.822388,13.811967,0.316507,1.011154,0.001985,0.043212,132.508774,53.132458,0.432997,0.035841,0.078641,0.196261,0.037276,-0.000458,0.001514,0.064283,0.059032,0.144306,0.061759
2019-03-06,3903.942627,138.789352,14.517946,0.317031,1.010583,0.001983,0.042843,133.26796,55.784279,0.431821,0.001942,0.007016,0.051114,0.001656,-0.000565,-0.001008,-0.008539,0.005729,0.04991,-0.002716
2019-03-07,3911.484375,138.0345,15.145886,0.314766,1.008475,0.001991,0.042944,132.156082,57.189034,0.455832,0.001932,-0.005439,0.043253,-0.007144,-0.002086,0.004034,0.002357,-0.008343,0.025182,0.055604
2019-03-08,3901.131592,135.127075,14.366936,0.310087,1.009525,0.00198,0.042664,129.470261,56.099548,0.466202,-0.002647,-0.021063,-0.05143,-0.014865,0.001041,-0.005525,-0.00652,-0.020323,-0.019051,0.02275
2019-03-09,3963.313721,137.965332,14.565879,0.313826,1.005976,0.001998,0.046728,133.815567,58.086891,0.477456,0.01594,0.021004,0.013847,0.012058,-0.003515,0.009091,0.095256,0.033562,0.035425,0.02414
2019-03-10,3951.599854,136.758682,14.494439,0.313107,1.008822,0.001999,0.045698,132.837814,57.181866,0.501768,-0.002956,-0.008746,-0.004905,-0.002291,0.002829,0.000501,-0.022042,-0.007307,-0.015581,0.05092
2019-03-11,3905.227295,133.83403,14.514414,0.311065,1.00878,0.001966,0.047633,130.204941,55.420216,0.46749,-0.011735,-0.021385,0.001378,-0.006522,-4.2e-05,-0.016508,0.042343,-0.01982,-0.030808,-0.068314
2019-03-12,3909.15625,134.442886,15.406131,0.310201,1.006598,0.002012,0.047397,128.948242,56.997055,0.488552,0.001006,0.004549,0.061437,-0.002778,-0.002163,0.023398,-0.004955,-0.009652,0.028452,0.045053
2019-03-13,3906.717285,133.263077,15.115124,0.314098,1.010083,0.002025,0.04659,128.933746,55.933186,0.48451,-0.000624,-0.008776,-0.018889,0.012563,0.003462,0.006461,-0.017026,-0.000112,-0.018665,-0.008273
2019-03-14,3924.369141,133.711594,15.051104,0.312955,1.010707,0.002039,0.048055,133.898117,56.584183,0.491097,0.004518,0.003366,-0.004236,-0.003639,0.000618,0.006914,0.031445,0.038503,0.011639,0.013595
