Date,BTC,ETH,BNB,XRP,USDT,DOGE,ADA,BCH,LTC,LINK
2019-03-01,7661247975.0,3756124824.0,117838677.0,752723591.0,6628411253.0,18777567.0,12997144.0,240782300.0,1175425172.0,3667815.0
2019-03-02,7578786076.0,3747176425.0,120807894.0,604560086.0,6623334103.0,17330550.0,11304263.0,234304188.0,1227656624.0,2339649.0
2019-03-03,7253558152.0,3454374053.0,89868246.0,548503372.0,6148316202.0,15753983.0,11011517.0,202483597.0,1102677211.0,1849996.0
2019-03-04,9029175788.0,4008171341.0,89421231.0,647905632.0,8129567032.0,16744533.0,18487838.0,307511335.0,1243464082.0,3710145.0
2019-03-05,10174126415.0,4764849990.0,237026335.0,786832982.0,9791470887.0,19420739.0,20952204.0,297746808.0,2000300862.0,6561919.0
2019-03-06,9175291529.0,4589054219.0,191016822.0,750399371.0,8754632122.0,17375079.0,15221353.0,281163956.0,1998850452.0,4082793.0
2019-03-07,9584165519.0,4339206292.0,236520320.0,716447226.0,8964016754.0,17976088.0,17201356.0,281220759.0,2410843754.0,7330127.0
2019-03-08,10638638944.0,4678816794.0,227303083.0,680461375.0,9170949582.0,17551404.0,20315017.0,301191835.0,1977538387.0,14303158.0
2019-03-09,10796103518.0,5011918715.0,160640089.0,763946051.0,9012563866.0,17348833.0,52185658.0,317778034.0,2145350395.0,7457248.0
2019-03-10,9713267607.0,4578438499.0,140866074.0,620043949.0,7993146408.0,14597178.0,27465022.0,274459921.0,1778709344.0,14548536.0
2019-03-11,10125901903.0,4689807419.0,152327295.0,671951311.0,8754662156.0,20212258.0,54732770.0,268403469.0,1839260243.0,11191637.0
2019-03-12,9809887079.0,4709988000.0,169525508.0,581106367.0,8193056943.0,20817165.0,35348849.0,232279797.0,1666711996.0,9177232.0
2019-03-13,9469184841.0,4265162099.0,145402739.0,827163024.0,7861726433.0,17366462.0,29855262.0,217915164.0,1465625295.0,6203981.0
2019-03-14,10480789570.0,4476532147.0,137039682.0,706966032.0,8089597848.0,12675418.0,26216581.0,388641464.0,1610293200.0,10961574.0
