Date,S&P500,DJ30,sp500_rtn,DJ30_rtn
2019-03-01,2803.689941,26026.320312,,
2019-03-04,2792.810059,25819.650391,-0.003881,-0.007941
2019-03-05,2789.649902,25806.630859,-0.001132,-0.000504
2019-03-06,2771.449951,25673.460938,-0.006524,-0.00516
2019-03-07,2748.929932,25473.230469,-0.008126,-0.007799
2019-03-08,2743.070068,25450.240234,-0.002132,-0.000903
2019-03-11,2783.300049,25650.880859,0.014666,0.007884
2019-03-12,2791.52002,25554.660156,0.002953,-0.003751
2019-03-13,2810.919922,25702.890625,0.00695,0.005801
2019-03-14,2808.47998,25709.939453,-0.000868,0.000274
2019-03-15,2822.47998,25848.869141,0.004985,0.005404
2019-03-18,2832.939941,25914.099609,0.003706,0.002524
2019-03-19,2832.570068,25887.380859,-0.000131,-0.001031
2019-03-20,2824.22998,25745.669922,-0.002944,-0.005474
2019-03-21,2854.879883,25962.509766,0.010852,0.008422
2019-03-22,2800.709961,25502.320312,-0.018975,-0.017725
2019-03-25,2798.360107,25516.830078,-0.000839,0.000569
2019-03-26,2818.459961,25657.730469,0.007183,0.005522
2019-03-27,2805.370117,25625.589844,-0.004644,-0.001253
2019-03-28,2815.439941,25717.460938,0.003589,0.003585
2019-03-29,2834.399902,25928.679688,0.006734,0.008213
2019-04-01,2867.189941,26258.419922,0.011569,0.012717
2019-04-02,2867.23999,26179.130859,1.7e-05,-0.00302
2019-04-03,2873.399902,26218.130859,0.002148,0.00149
2019-04-04,2879.389893,26384.630859,0.002085,0.006351
2019-04-05,2892.73999,26424.990234,0.004636,0.00153
2019-04-08,2895.77002,26341.019531,0.001047,-0.003178
2019-04-09,2878.199951,26150.580078,-0.006067,-0.00723
2019-04-10,2888.209961,26157.160156,0.003478,0.000252
2019-04-11,2888.320068,26143.050781,3.8e-05,-0.000539
2019-04-12,2907.409912,26412.300781,0.006609,0.010299
2019-04-15,2905.580078,26384.769531,-0.000629,-0.001042
2019-04-16,2907.060059,26452.660156,0.000509,0.002573
2019-04-17,2900.449951,26449.539062,-0.002274,-0.000118
2019-04-18,2905.030029,26559.539062,0.001579,0.004159
2019-04-22,2907.969971,26511.050781,0.001012,-0.001826
2019-04-23,2933.679932,26656.390625,0.008841,0.005482
2019-04-24,2927.25,26597.050781,-0.002192,-0.002226
2019-04-25,2926.169922,26462.080078,-0.000369,-0.005075
2019-04-26,2939.879883,26543.330078,0.004685,0.00307
2019-04-29,2943.030029,26554.390625,0.001072,0.000417
2019-04-30,2945.830078,26592.910156,0.000951,0.001451
2019-05-01,2923.72998,26430.140625,-0.007502,-0.006121
2019-05-02,2917.52002,26307.789062,-0.002124,-0.004629
2019-05-03,2945.639893,26504.949219,0.009638,0.007494
2019-05-06,2932.469971,26438.480469,-0.004471,-0.002508
2019-05-07,2884.050049,25965.089844,-0.016512,-0.017905
2019-05-08,2879.419922,25967.330078,-0.001605,8.6e-05
2019-05-09,2870.719971,25828.359375,-0.003021,-0.005352
2019-05-10,2881.399902,25942.369141,0.00372,0.004414
2019-05-13,2811.870117,25324.990234,-0.024131,-0.023798
2019-05-14,2834.409912,25532.050781,0.008016,0.008176
2019-05-15,2850.959961,25648.019531,0.005839,0.004542
2019-05-16,2876.320068,25862.679688,0.008895,0.008369
2019-05-17,2859.530029,25764.0,-0.005837,-0.003816
2019-05-20,2840.22998,25679.900391,-0.006749,-0.003264
2019-05-21,2864.360107,25877.330078,0.008496,0.007688
2019-05-22,2856.27002,25776.609375,-0.002824,-0.003892
2019-05-23,2822.23999,25490.470703,-0.011914,-0.011101
2019-05-24,2826.060059,25585.689453,0.001354,0.003735
2019-05-28,2802.389893,25347.769531,-0.008376,-0.009299
2019-05-29,2783.02002,25126.410156,-0.006912,-0.008733
2019-05-30,2788.860107,25169.880859,0.002098,0.00173
2019-05-31,2752.060059,24815.039062,-0.013195,-0.014098
2019-06-03,2744.449951,24819.779297,-0.002765,0.000191
2019-06-04,2803.27002,25332.179688,0.021432,0.020645
2019-06-05,2826.149902,25539.570312,0.008162,0.008187
2019-06-06,2843.48999,25720.660156,0.006136,0.007091
2019-06-07,2873.340088,25983.939453,0.010498,0.010236
2019-06-10,2886.72998,26062.679688,0.00466,0.00303
2019-06-11,2885.719971,26048.509766,-0.00035,-0.000544
2019-06-12,2879.840088,26004.830078,-0.002038,-0.001677
2019-06-13,2891.639893,26106.769531,0.004097,0.00392
2019-06-14,2886.97998,26089.609375,-0.001612,-0.000657
2019-06-17,2889.669922,26112.529297,0.000932,0.000879
2019-06-18,2917.75,26465.539062,0.009717,0.013519
2019-06-19,2926.459961,26504.0,0.002985,0.001453
2019-06-20,2954.179932,26753.169922,0.009472,0.009401
2019-06-21,2950.459961,26719.130859,-0.001259,-0.001272
2019-06-24,2945.350098,26727.539062,-0.001732,0.000315
2019-06-25,2917.379883,26548.220703,-0.009496,-0.006709
2019-06-26,2913.780029,26536.820312,-0.001234,-0.000429
2019-06-27,2924.919922,26526.580078,0.003823,-0.000386
2019-06-28,2941.76001,26599.960938,0.005757,0.002766
2019-07-01,2964.330078,26717.429688,0.007672,0.004416
2019-07-02,2973.01001,26786.679688,0.002928,0.002592
2019-07-03,2995.820068,26966.0,0.007672,0.006694
2019-07-05,2990.409912,26922.119141,-0.001806,-0.001627
