ticker,Date,ShortVolume,ShortExemptVolume,TotalVolume,short_int
CZR,2021-01-04,375940.0,1003.0,641838.0,0.5857241235327294
CZR,2021-01-05,244102.0,10995.0,499780.0,0.48841890431789986
CZR,2021-01-06,274326.0,1149.0,777289.0,0.35292664633103005
CZR,2021-01-07,269165.0,1847.0,982930.0,0.2738394392276154
CZR,2021-01-08,263629.0,82.0,757137.0,0.34819193884330046
CZR,2021-01-11,275803.0,140.0,486956.0,0.5663817675518938
CZR,2021-01-12,147290.0,163.0,469362.0,0.31380895769150463
CZR,2021-01-13,209086.0,100.0,750336.0,0.27865649522347324
CZR,2021-01-14,138624.0,500.0,701709.0,0.19755197667409138
CZR,2021-01-15,368008.0,35.0,1035356.0,0.3554410270477015
CZR,2021-01-19,446381.0,125.0,1262461.0,0.3535800313831477
CZR,2021-01-20,283361.0,9196.0,771843.0,0.3671225884020455
CZR,2021-01-21,405194.0,1948.0,789568.0,0.5131844249007051
CZR,2021-01-22,222392.0,601.0,628236.0,0.35399435880783653
CZR,2021-01-25,268930.0,221.0,666691.0,0.4033802766199034
CZR,2021-01-26,309992.0,21824.0,679983.0,0.45588198528492624
CZR,2021-01-27,768202.0,63330.0,1683662.0,0.45626853845961957
CZR,2021-01-28,391784.0,25567.0,1061854.0,0.36896221137745866
CZR,2021-01-29,340985.0,206.0,666641.0,0.5114971926419167
NVAX,2021-01-04,279413.0,400.0,865141.0,0.3229681635710248
NVAX,2021-01-05,265443.0,100.0,932034.0,0.28479969614842376
NVAX,2021-01-06,261788.0,689.0,1050234.0,0.2492663539744476
NVAX,2021-01-07,313543.0,2250.0,1026389.0,0.30548164487343493
NVAX,2021-01-08,540951.0,1209.0,1672962.0,0.3233492452309138
NVAX,2021-01-11,421198.0,3771.0,1256953.0,0.33509447051719515
NVAX,2021-01-12,270540.0,2848.0,858949.0,0.3149663134831055
NVAX,2021-01-13,295574.0,1982.0,928162.0,0.3184508738776205
NVAX,2021-01-14,244314.0,169.0,768450.0,0.3179308998633613
NVAX,2021-01-15,329157.0,4492.0,1049823.0,0.31353571030545146
NVAX,2021-01-19,277132.0,518.0,1094162.0,0.25328242070187046
NVAX,2021-01-20,351577.0,2797.0,1015214.0,0.34630826604046044
NVAX,2021-01-21,246694.0,759.0,813012.0,0.30343217566284386
NVAX,2021-01-22,230040.0,311.0,810958.0,0.28366450543677973
NVAX,2021-01-25,309344.0,1941.0,914259.0,0.3383548863068343
NVAX,2021-01-26,185969.0,1287.0,751885.0,0.24733702627396476
NVAX,2021-01-27,294891.0,1003.0,1198458.0,0.24605868541075282
NVAX,2021-01-28,324660.0,1561.0,1202052.0,0.27008814926475727
